"On a scale from 1 to 5, how would you rate your knowledge and understanding of Artificial Intelligence (AI)?","On a scale from 1 to 5, how often do you use Artificial Intelligence (AI) for personal use?","On a scale from 1 to 5, how often do you use Artificial Intelligence (AI) for school-related tasks?","On a scale from 1 to 5, how interested are you in pursuing a career in Artificial Intelligence?",Do you know what Chat-GPT is?,What college are you in?
3,1,1,1,No,Humanities & Social Sciences
3,2,3,3,Yes,"Science, Engineering, & Technology"
3,1,1,1,Yes,Humanities & Social Sciences
4,3,2,2,Yes,"Science, Engineering, & Technology"
1,1,1,1,No,Business
4,2,1,1,Yes,"Science, Engineering, & Technology"
4,4,3,2,Yes,"Science, Engineering, & Technology"
4,1,2,1,Yes,Arts & Media
3,3,2,3,Yes,"Science, Engineering, & Technology"
4,3,2,3,Yes,"Science, Engineering, & Technology"
5,4,4,1,Yes,Education
3,2,1,2,No,Humanities & Social Sciences
4,3,1,1,Yes,Education
3,2,1,1,Yes,Humanities & Social Sciences
3,2,1,1,Yes,Theology
3,1,1,1,Yes,"Science, Engineering, & Technology"
3,2,1,2,Yes,"Science, Engineering, & Technology"
4,2,1,1,No,Education
3,4,5,2,Yes,Humanities & Social Sciences
2,1,1,2,No,Business
4,2,2,2,Yes,"Science, Engineering, & Technology"
2,1,1,1,Yes,Humanities & Social Sciences
2,2,1,1,Yes,Business
4,2,1,2,Yes,"Science, Engineering, & Technology"
2,2,2,2,Yes,"Science, Engineering, & Technology"
3,2,3,1,Yes,"Science, Engineering, & Technology"
2,1,1,1,Yes,"Science, Engineering, & Technology"
3,2,2,1,Yes,"Science, Engineering, & Technology"
5,4,4,4,Yes,Business
4,2,4,1,Yes,Business
3,1,1,1,No,"Science, Engineering, & Technology"
4,3,2,2,Yes,"Science, Engineering, & Technology"
4,3,3,1,Yes,"Science, Engineering, & Technology"
5,4,5,5,Yes,Business
3,1,1,2,Yes,"Science, Engineering, & Technology"
3,2,2,1,Yes,Business
2,1,1,1,No,Humanities & Social Sciences
3,2,3,1,No,Business
4,3,4,1,Yes,Humanities & Social Sciences
4,2,1,2,Yes,Humanities & Social Sciences
4,3,3,3,Yes,Business
4,1,1,1,Yes,"Science, Engineering, & Technology"
4,3,2,2,Yes,"Science, Engineering, & Technology"
3,2,2,1,Yes,Education
3,3,3,1,Yes,Business
5,2,2,1,Yes,Business
5,4,5,3,Yes,Business
2,2,1,1,No,Business
3,2,1,1,Yes,Humanities & Social Sciences
4,4,4,2,Yes,Business
4,4,4,3,Yes,"Science, Engineering, & Technology"
3,1,1,1,Yes,Business
3,3,3,1,Yes,"Science, Engineering, & Technology"
3,4,4,1,Yes,Business
3,1,1,2,Yes,Business
3,2,1,2,No,"Science, Engineering, & Technology"
2,2,2,1,No,"Science, Engineering, & Technology"
3,1,1,1,Yes,"Science, Engineering, & Technology"
2,3,2,2,No,Humanities & Social Sciences
3,2,3,2,Yes,"Science, Engineering, & Technology"
5,4,3,4,Yes,Business
5,4,4,5,Yes,"Science, Engineering, & Technology"
3,3,2,2,Yes,"Science, Engineering, & Technology"
4,1,1,3,Yes,Business
3,3,2,2,Yes,"Science, Engineering, & Technology"
4,2,3,1,Yes,Arts & Media
5,3,3,3,Yes,Humanities & Social Sciences
1,3,4,4,Yes,"Science, Engineering, & Technology"
3,2,3,1,Yes,Business
4,3,4,2,Yes,"Science, Engineering, & Technology"
3,2,2,1,Yes,"Science, Engineering, & Technology"
4,2,4,1,No,Business
4,3,4,2,Yes,Business
3,2,1,1,Yes,Humanities & Social Sciences
3,1,3,1,Yes,Business
4,3,2,3,Yes,Business
4,2,1,1,Yes,Nursing & Health Care
3,1,1,2,Yes,"Science, Engineering, & Technology"
3,2,1,1,Yes,Humanities & Social Sciences
5,2,1,1,Yes,"Science, Engineering, & Technology"
4,2,2,2,Yes,Business
5,5,5,5,No,"Science, Engineering, & Technology"
3,2,2,2,Yes,Humanities & Social Sciences
2,1,2,1,Yes,Business
3,2,2,2,Yes,Humanities & Social Sciences
3,2,2,1,Yes,"Science, Engineering, & Technology"
5,5,1,1,Yes,Business
2,2,1,1,Yes,Education
4,1,1,2,Yes,Business
4,4,2,5,Yes,Business
4,4,4,1,Yes,Business
2,1,1,1,Yes,"Science, Engineering, & Technology"
3,1,1,1,Yes,Education
4,2,1,2,Yes,"Science, Engineering, & Technology"
4,2,2,1,Yes,"Science, Engineering, & Technology"
5,3,5,4,Yes,Business
3,3,4,1,Yes,Business
2,1,1,1,Yes,Humanities & Social Sciences
3,2,3,3,Yes,"Science, Engineering, & Technology"
5,2,1,1,No,Humanities & Social Sciences
4,1,1,1,Yes,"Science, Engineering, & Technology"
4,2,4,2,Yes,"Science, Engineering, & Technology"
4,3,2,1,Yes,Business
2,1,1,1,Yes,Business
4,3,3,4,Yes,Humanities & Social Sciences
4,2,3,1,Yes,Business
3,1,1,1,Yes,Education
3,1,1,1,Yes,Theology
3,3,1,1,Yes,Humanities & Social Sciences
3,2,2,1,Yes,"Science, Engineering, & Technology"
3,1,1,1,Yes,"Science, Engineering, & Technology"
4,2,1,1,Yes,Arts & Media
4,4,4,5,Yes,"Science, Engineering, & Technology"
3,2,2,1,Yes,Business
3,2,2,2,Yes,"Science, Engineering, & Technology"
4,3,2,3,Yes,"Science, Engineering, & Technology"
4,4,4,4,Yes,"Science, Engineering, & Technology"
3,2,3,2,Yes,"Science, Engineering, & Technology"
5,2,3,3,Yes,"Science, Engineering, & Technology"
4,3,2,2,Yes,Arts & Media
4,3,3,2,Yes,"Science, Engineering, & Technology"
4,3,2,2,Yes,"Science, Engineering, & Technology"
4,2,2,2,Yes,"Science, Engineering, & Technology"
