texto,sentimiento,score,insight
"Tengo una perspectiva que quisiera aporta: desde mi experiencia, siento que más que una pérdida de inteligencia, lo que ocurre es una reorganización de nuestras funciones mentales. El cerebro, como sabemos, es altamente plástico y tiende a adaptarse según las demandas del entorno. Si dejamos de escribir a mano o de hacer cálculos mentales, no es necesariamente porque nos volvemos más “flojos”, sino porque delegamos tareas ya resueltas para liberar espacio cognitivo hacia desafíos más complejos y estratégicos.

Lo veo como cuando apareció la calculadora: no nos hizo menos inteligentes, simplemente trasladamos nuestra energía mental a problemas más amplios. Así también ocurre con la tecnología actual —nos puede ayudar a pensar en grande, siempre que la usemos con conciencia crítica y no como sustituto de nuestro criterio.",negativo,-0.883,Razonamiento
"Este video muestra la icónica escena de Starship Troopers en la que un soldado le pregunta al instructor por qué los entrenan para combatir, si pueden lanzar una bomba nuclear con solo apretar un botón. Inmediatamente después, el instructor le clava un cuchillo en la mano y le inquiere: ""¿Y ahora cómo vas a oprimir el botón?""",neutro,0.57,sin categoría
7:45 Parece que compraron un editor premium.,negativo,-0.657,sin categoría
el problema del mundo sobre-productivo del que vivimos hoy.. nos dicen 'hazlo en chatgpt ahora'.. no nos dan el tiempo ni el proceso que nos llevaba antes para resolver un problema.. vivimos en el 'fast food brain results' de la mente ahora.. necesitamos la respuesta y la necesitamos ya.. asi que ya el proceso analitico y critico esta tomando segundo plano.. para detrimento de la humanidad..,negativo,-0.973,sin categoría
"Yo lo he utilizado ChatGPT para escribir partes de proyectos para la niversidad hasta que me ayude a entender problemas matemáticos. 
Entonces en mi opinion es una herramienta tan versátil que es difícil asignarle un uso específico. 
Si quieres que te ayude a estudiar lo mejor es que te haga mapas mentales y tu mismo mejorarlos o leerlos luego.
Luego si quieres trabajar ahí es donde entra el Prompt Engineering para obtener resultados.
Es interesante ver como ha evolucionado nuestra comprensión del uso de IA en todos los ámbitos.
Buen video.",positivo,0.67,Comprensión del lenguaje
"Estoy de acuerdo contigo Fredy, yo justo estoy realizando las conclusiones de mi proyecto de investigación de maestría y durante estos 2 años identifico como 'desactivo' mi pensamiento crítico cuando entra en juego la IA. Dejé de usarla cuando entré en la metodología y empecé apropiarme de mi documento  pero sin duda el cerebro  es un músculo que si no se trabaja pierde fortaleza",neutro,0.657,Razonamiento
"Antes tenía rechazo a todo lo que dices Freddy Vega, pero he superado esa fase, ahora estoy entusiasmado por ser el mejor en estas herramientas y seguir aprendiendo",positivo,0.846,sin categoría
"Primero buenos días, segundo, que bueno editor de vídeo, tercero, ingeniosa forma de comunicar esta información sobre la fragilidad cognitiva al usar LLMs, cuarta, a terminar el libro Freddy, quinto, reconozco cuanto he dejado de realizar código artesanal que solo trato de dar el mejor prompt (Skill) para obtener grandes resultados, finalmente, el uso moderado me mantiene aún vivo para futuras ediciones laborales.",positivo,0.865,sin categoría
Hoy llegué a 86 mil euros. Estoy realmente agradecido por todo el conocimiento y la información que me han brindado durante los últimos meses. Empecé con 7 mil en enero.,positivo,0.931,sin categoría
Le dije a ChatGPT que si me podia dar un curso completo de prompt engineering y esta buenisimo,positivo,0.624,sin categoría
"5:08 Estoy en desacuerdo con esa afirmación; el aprendizaje no es memorización o repetición sino comprensión de conceptos.
Hacer resumenes es bueno, si lo haces de la forma correcta.
En todo lo demás estoy completamente de acuerdo, buen video ",positivo,0.729,Memoria
"Que video tan interesante!! Toda la idea de aprender y recordar lo aprendido está basado en dos conceptos clave: SOLO taxonomy y Bloom's taxonomy. Donde el primero referencia como nuestro cerebro aprende, crea patrones y relaciones entre conceptos, y el segundo explica como llegar desde las estructuras de conocimiento más simples hasta las más complejas. Estos dos conceptos están directamente relacionados con el esfuerzo cognitivo que invertimos a la hora de aprender. Debemos conseguir estar en un ""sweet spot"" de esfuerzo, donde la tarea no es muy simple de realizar, ya que no aprenderíamos tanto, ni tan compleja porque acabaríamos abandonando. La verdad que intento mantener un esfuerzo cognitivo a la hora de aprender, pero a veces es complicado porque uno se siente incómodo. Me suele funcionar tratar de conseguir superar la tarea o el obstáculo por mi cuenta durante 5-10 minutos y si no lo consigo, busco la información o le pregunto a ChatGPT.",positivo,0.502,Aprendizaje
Seria chévere que también subieran estos episodios en Spotify. Muy interesante!,positivo,0.931,sin categoría
"Nunca algo tan humano y simple como pensar pareció tan complicado e inalcanzable como hoy. Felicitaciones por el video, es de los pocos videos verdaderamente inteligentes y útiles que he visto sobre inteligencia artificial. Un saludo.",positivo,0.964,sin categoría
"Cierto, yo empecé así y actualmente me da mucha pereza. Todos mis comentarios en YouTube los escribe ChatGPT.",negativo,-0.926,sin categoría
"5:43-45. No es ""reversar"", sino ""revertir"". Por lo demás, excelentes reflexiones ",positivo,0.811,sin categoría
"Creo que leer libros ya no es la forma más práctica de construir conocimiento profundo, limitarte a un solo autor cuando puedes tener decenas y construir algo mejor? Ahora bien, con Chat GPT veo como que si pudieras hablar con el autor de cada libro.
Por el otro lado, el formato audiovisual es mejor que la lectura, no lo digo yo y solo para humanos, para la IA el crecimiento en la entrada de datos fue mucho mayor cuando la multimodalidad fue la norma.",neutro,0.573,sin categoría
"Fui facilitador de procesos de reflexión y autobiografía de docentes en ejercicio en 2010  a 2012 y aunque, en mis grupos habían docentes con estudios de postgrado  escribir desde su propia perspectiva, en primera persona y de forma reflexiva y critica fue muy problemático. El sistema educativo también influye en la capacidad de una escritura critica",negativo,-0.857,Metacognición
0:40 Por eso mismo dejé ChatGPT... ahora uso Gemini ,neutro,0.875,sin categoría
"Estaría bueno también explorar en profundidad como mantener la mente con mejor cognición en una era de LLMs.

Como siempre buen vídeo.",positivo,0.939,sin categoría
"Me alegra entonces saber que estoy haciendo algo bien justo este año me propuse leer mas simplemente porque estaba viendo como siempre tenia prisa y urgencia al hacer las cosas has que me pregunte para que tanta prisa si al final me encontraba scrollinando en el celular ahora lo que comenzo como un simple capricho ya se a vuelto en un bello pasatiempo libros como los 4 acuerdos, la magia de pensar en grande y el coraje de ser feliz son muy buenos libros se lo recomiendo a cualquiera",positivo,0.946,sin categoría
"Por primera vez en años vuelvo a ver Freddy cuestionar algo sobre el estado del arte de la tecnología, pensé que ya había perdido el pensamiento crítico es bueno verlo cuestionar las cosas ya se extrañaba",positivo,0.926,Razonamiento
"Excelente análisis. Nunca había visto un análisis tan bien estructurado como el tuyo. Este año, gané $300,000 en ETFs de Bitcoin, S&P 500 y otros fondos de dividendos. Hoy alcancé los $100,000. Estoy muy agradecido por todo el conocimiento y la información que me has proporcionado en los últimos meses. Empecé con $10,000 hace unos meses. Un abrazo, sigan invirtiendo hasta que tenga un cambio de vida",positivo,0.95,sin categoría
"Yo la uso para asistirme a la hora de escribir, diría que es mi corrector de ortografía y redacción. Sin embargo, entiendo por completo la premisa, cuando estaba en la maestría tuvimos un curso de escritura y eso nos ayudó enormemente a expresar de forma eficiente nuestras ideas o esencia personal, cuando supe de las maravillas y facilidades de la IA, me adapté rápidamente a lo mismo. No satanizo su uso, pero entiendo la metáfora del cerebro como un músculo, si lo dejas de usar eventualmente se atrofia y eso hace que eventualmente perdamos capacidades tan básicas como escribir.",neutro,0.733,Comprensión del lenguaje
"No es un estudio revisado por pares y sólo fue para tareas poco creativas y entre un pequeño grupo de estudiantes que querían automatizar la creación de ensayos, buscando sustituir su imaginación e intuición, el pensamiento profundo, el análisis crítico.

Hay otros caminos para una relación simbiótica con estas tecnologías, otras epistemologías y pedagogías. Es nuestra responsabilidad crear nuevos marcos teóricos y síntesis auténticas que den pie a sistemas, interfaces, modelos y medios con significado, sentido y un impulso inherente hacia horizontes más humanos, con éticas, políticas, estéticas, ontologías y ecologías decoloniales, pluriversales, biomiméticas. Porque para abordar problemas complejos se necesita pensamiento especulativo y transdisciplinariedad.",negativo,-0.531,Creatividad
"De los mejores videos que vi de Platzi y Freddy. Una invitación a reflexionar sobre cómo pensamos, cómo mantener nuestro cerebro saludable y activo, y a hacer uso racional de la IA y los LLM.",positivo,0.936,Metacognición
"""Por favor dejar de usar una herramienta que choca directamente con mi modelo de negocio"" el video",negativo,-0.88,sin categoría
"Eso de saber por ejemplo división larga de manera intuitiva daba resultados precisos y nl exactos...

Por eso por ejemplo el ábaco desde el tiempo de su invención, estuvo vigente para desarrollar aritmética básica.

El cerebro humano por encima de desarrollarse para resolver, evolucionó para encontrar caminos y herramientas para resolver esos problemas. Ahora, después de años de experticia en un tema estás más cerca de resolver un problema que resolvias con una herramienta sin ella, que aquellos que no tenían la herramienta.

Es parte del proceso de distinción.",neutro,0.572,sin categoría
"Honestamente estoy en desacuerdo con esto, en mi caso ChatGPT lo uso todo el tiempo en mi trabajo, soy desarrollador de Doftware y actualmente estoy como arquitecto de software y si bien si me he dado cuenta que el desarrollo como tal del código se lo dejo a chat gpt he aprendido formas de escribir código que antes no, arquitecturas que antes no, en otras palabras ChatGPT se dedica a lo operativo, todo lo enfocado al negocio me toca a mí y en ves de olvidar eso aprendo cosas nuevas. No todo estudio científico es aceptado por la comunidad científica y eso es algo que debemos tener presente. Saludos",neutro,0.757,sin categoría
"Excelente análisis, Freddy.",positivo,0.936,sin categoría
"8:35 Si, de hecho gracias a la IA me he introucido de mejor forma a la lectura (antes me resultaba tedioso) sin embargo con la IA si no entiendo algun termino o palabra le puedo pedir que me lo explique haciendo el proceso de lectura más ameno",neutro,0.564,sin categoría
"Yo soy docente en Australia y he evidenciado canda palabra que has dicho, ahora la pregunta es, una vez que regulemos personalmente el uso para potencial el aprendizaje, que pasa con la competencia cognitiva? Es notorio que el mercado laboral no espera.",neutro,0.636,sin categoría
8:48 solo escucho audiolibros,neutro,0.818,sin categoría
"Tienes razón , me a pasado que el aporte de un determinado autor, lo que desató mi reflexión, análisis y curiosidad , fue una nota al pi de pagina. Realmente hay que leer libros",neutro,0.488,Metacognición
"Estoy leyendo más libros desde que salió ChatGPT, pero honestamente es porque decidí hacerlo y aprendí a hacerlo un hábito. 
A continuación lo que llevo en el año: 
- Levítico (jeje, sí)
- Hábitos atómicos (digan lo que quieren, es el libro que me enseñó a leer mucho más otros libros) 
- Cómo hacer amigos e influir en las personas (me mostró que puede ser tu culpa estar en el papel de Kasandra, debes aprender a comunicar tus ideas) 
- Meditaciones (De Marco Aurelio, lo que te afecta es lo que permites que te afecte, el resto de las personas no son diabólicas, aunque pueden ignorar partes que podrían ser importantes, no permitas que por ello te hagan dejar de perseguir buenas virtudes; nadie es inmortal, no deberías martirizarte por ello, haz lo mejor que puedas siempre, no te autodestruyas por aquello que no puedes cambiar, el mundo es apenas un pequeño lugar en el espacio y eres apenas un pequeño lugar con una pequeña ventana en el tiempo y en el mundo, no tiene sentido sentirse mal por ello, acéptalo y ve el dolor o la tragedia como una oportunidad para ser mejor).",neutro,0.693,Aprendizaje
"Me parece muy bien que un canal de educación con tanta llegada publique este mensaje. Es verdad que se requieren papers científicos para afirmar estas cosas, pero me da pena que antes de que hayan habido estudios serios (tanto para AI como para social media y los smartphones) en general se haya propulsado tan desmedidamente el uso de estas tecnologías diciendo que ""no hay evidencia que degraden las capacidades cognitivas"", sugiriendo implícitamente un ""entonces úsenlo todo lo que quieran"", en lugar de ser coherentes con la falta de prueba certera y comunicando un ""sean prudentes porque todavía no hay estudios que evalúen su impacto"", sobre todo cuando no faltaban indicios de casos de uso individuales que sugerían posibles consecuencias negativas. Es desafortunada esta forma de divulgación que se ha ido dando en el tiempo, que seguramente ha generado en muchas personas consecuencias negativas que pudiesen haber sido evitadas. Obviamente, estamos para seguir aprendiendo de todo esto.",negativo,-0.862,sin categoría
7:45 Fredy modo ventas xd,neutro,0.793,sin categoría
"No lo he necesitado, ni lo he usado la primera vez. Y soy profesor y creo un monton de contenido dentro y fuera del aula.",neutro,0.526,sin categoría
desincentivar el uso de ChatGPT para que la gente prefiera comprar los cursos de Platzi ,neutro,0.659,sin categoría
"Pero la pregunta no es, si nos estamos volviendo adictos o no, la pregunta es , vamos a poder decir NO a su uso si nos exigen cada más productividad?",negativo,-0.898,sin categoría
"No se dice ""reversar"""" eso significa vomitar, se dice ""revertir""",negativo,-0.693,sin categoría
"¡Estoy totalmente de acuerdo con lo que mencionas! Lamentablemente, con la llegada de la Inteligencia Artificial, nos hemos vuelto más perezosos porque estas herramientas nos facilitan la vida. Y no es casualidad que, enfocado en la educación, queramos hacer textos académicos mediante un uso irresponsable de esta, en vez de realizar una investigación on-line exhaustiva para generar ideas del tema. De hecho, el boom de la IA me hace recordar al de las redes sociales. Eso demuestra que el avance tecnológico de la humanidad ha sido exponencial desde la década de los 80.

P.D: Respondiendo a tu pregunta, confieso que mis habilidades lectoras han disminuido drásticamente. Pasé de leer 10 libros a 3 en promedio anualmente. Además, he abusado del resumen de textos largos en ChatGPT .",negativo,-0.889,sin categoría
"Vaya vaya, hace un par de meses todo era IA, úsenla, úsenla!!! tenemos cursos.... :-) y ahora, tres doritos después tenemos un curso para que no uses la IA.",neutro,0.673,sin categoría
"Yo utilizo gémini, hemos discutido temas realmente, creo que en mi caso aunque ya escribo menos, me a ayudado a desarrollar mi fluidez verbal y mi sentido crítico profundamente, discutiendo temas de química profunda, de modo que he sentido que me he desarrollado mucho mentalmente. Si a alguien le interesa; no es simplemente que lo usó para hacer tareas, de hecho nunca he hecho tareas.",positivo,0.561,Razonamiento
"Primera vez que veo a freddy vender usar algo y verle la cara de ""esto obviamente es dañino, pero tengo que seguir defendiendo la industria""",neutro,0.587,sin categoría
El ejemplo de la calculadora es perfecto para ilustrar este efecto...,positivo,0.767,sin categoría
"Gracias! Me quedo con la frase que dice algo así como ""ama el dolor de llegar a ser mejor"". Gracias",positivo,0.931,sin categoría
"usé como cuerda la IA cuando debía entender el cursor usando  subconsulta en un join, y previo a un from y entender el output. Es una satisfacción entenderlo y resolver el problema",positivo,0.617,Comprensión del lenguaje
"Felicitaciones por el gran video y por exponer una tendencia realmente preocupante. Hoy día, demasiada gente cree (y apoya) que todo ése ecosistema de AI debe ser la base de todo lo que hacemos. Como lo mencionaste, debería ser el último recurso, ya cuando uno hizo el esfuerzo necesario para sostener el entendimiento y raciocinio. Delegar pensamiento critico es un atentado directo contra nuestro futuro como seres ""pensantes!!",negativo,-0.946,sin categoría
"Pude confirmar esto antes de siquiera ver el video, muchas veces en el trabajo en pos de ser ""más eficiente"" empecé a delegar a Copilot o a la IA de turno lo que estaba trabajando, al final leía todo para ""entender"" pero no es lo mismo entender a ""practicar"" la práctica es la que permite que lo que hagas te quede en la memoria, toqué fondo por decirlo así cuando en una entrevista en inglés me fue supermal (y no por el inglés justamente)  y con conceptos básicos que ya sabia. Incluso en una prueba de código sencilla no recordaba la sintaxis. Sabia el ""qué"" pero por mi cuenta no recordaba  el ""como"", ya que esa parte la hacía Copilot. Desde ese momento cambié mi forma de usar la IA, quité el autocompletado y empecé a usar el intellisense tradicional cuando codificaba. Y ahora uso la IA como un instructor que me ayude a entender los conceptos, darme ejemplos, comparaciones. Como tal un ayudante para resolver mis tareas diarias del trabajo + NO quién sea el que me haga el trabajo y yo solo lo ""supervise"". Con solo este cambio mi calidad laboral mejoró y estoy recuperando nuevamente mi crecimiento personal.",negativo,-0.602,Memoria
Muchisisisimas Gracias por el contenido,positivo,0.95,sin categoría
"Yo deje de consultar en Google o youtube y ahora realizo todas mis consultas con IA, tienes un experto en todas las materias en el bolsillo.",neutro,0.681,sin categoría
De lo mejor que he visto sobre este tema. Gracias.,positivo,0.959,sin categoría
"Para el debate: usar la IA solo como ""una cuerda para escalar un muro"" como una suerte de ayuda para momentos difíciles, es equivalente a usar un tractor en una granja solo cuando me canso de sembrar a mano. Esto es absolutamente ineficiente y poco competitivo, tarde o temprano, como en el caso de los tractores en las granjas, se convierten en un estándar, y quien no los usa a su máximo potencial, sencillamente no puede competir. La IA entonces no es una herramienta para ""no pensar"", es un catalizador, un acelerador de la inteligencia humana, un ""destructor de barreras"", y en ultima instancia, es el super poder de construir visiones asombrosas a una velocidad sin precedentes. Usar IA correctamente no significa dejar de pensar para que la IA piense por ti, significa pensaren en ordenes de magnitud mucho mayores colaborando con IA's avanzadas que amplifican masivamente el alcance de una visión. Termino con esto: así como las redes sociales se pueden convertir en cárceles de nuestra atención, también pueden ser plataformas para masificar conocimiento y cultura, la IA podría ser usada para profundizar la mediocridad, pero también, para acelerar la humanidad a niveles nunca antes vistos. El problema no conduce entonces a ChatGTP, conduce como en casi todas las cosas, a la visión y propósito que guía nuestras acciones.",negativo,-0.953,Atención
"Excelente, gracias Freddie, muy buen Tema, muy útil. ",positivo,0.982,sin categoría
"Fredy te hago una pregunta. Al sugerir que quizas no debería existir el trabajo de copiar de un LLM, a qué trabajo te refieres si es que el mismo ya existe. Y si el mismo no existe, estas sugiriendo un marco regulatorio en tal sentido, para protegernos de la ""atrofia"" cognitiva?",neutro,0.72,sin categoría
"pues,.. supongo que si se pierde algo de capacidad cognitiva.. pero a la vez, nos acerca mas aún a temas que nunca hemos visto. Es decir, nos ayuda a aprender mejor sobre temas que desconocemos. Lo que tenemos que hacer es aprender a evaluar lo que vemos. A aumentar nuestro pensamiento critico.",neutro,0.643,Aprendizaje
"Del domingo hasta el jueves codifiqué y escribí para mi artículo de redes neuronales, solo la parte referente a materiales, métodos, resultados, tablas, gráficas. Usé a la IA para lo básico: mejorar apariencia de las gráficas a la par que mejoraba mi comprensión de matplotlib, al final yo puse la gráfica de la manera en que mejor me gustó, funciones de métricas de evaluación. También lo puse a lo 'cuestionable', como a reforzar mi introducción, y usé a Manus a que conectara una nueva versión de la introducción con las referencias y que pusiera discusión y conclusiones, en lo cual falló estrepitosamente, luego le dije que solo tomara los papers y los citara en APA con su respectivo DOI. Mi director de grupo lo está pasando a inglés (porque así lo quiso) y, salvo que me pidan alguna información adicional, dentro de poco se va a someter a publicación.

Es común modificar cosas esenciales y pegarle el código de la manera en que sí funciona o hace lo que uno necesita/espera/demanda.
IA la embarra muy a menudo, pero sola no puede hacer nada complejo funcional, ni si se le diera el mejor conjunto ordenado de prompts.",neutro,0.556,Razonamiento
"Totalmente de acuerdo contigo estimado amigo sin lugar a dudas  algo asombroso para manejar pero con mucho cuidado, la obsolescencia está ahí nomas.",positivo,0.811,sin categoría
Agradezco el criterio que en muchas ocasiones he recibido de tu parte. Ha sido un impacto positivo para mí.,positivo,0.966,Razonamiento
"Depende como lo uses. No le pides que genere por completo todo el contenido. Simplemente realiza un artículo, opinión, etc y dile que corrija el estilo narrativo, incremente o disminuya el grado académico, corrija la puntuación, etc(una instrucción personalizada, dependiendo de tú petición [el resultado que esperado]).
  Si bien, el resultado muy parecido a tú estilo narrativo. si le pide genere un segmento por completo o desde cero, pues si afecta al desarrollo cognitivo o a iniciar el razonamiento. No del todo.",neutro,0.83,sin categoría
"Freddy dando consejos a partir de datos científicos 

Por cierto, ame el mapa de la historia de la humanidad que tiene atrás. Eso es de un canal en Youtube que habla sobre ciencia, historia y muchas otras cosas. Se llama Kurzgesagt in a nutshell",positivo,0.77,sin categoría
"Hace poquito leí que bocharon al 94% en un examen de una materia de informática en la UNLP, eso es lo que pasa cuando no tenés chatgpt a mano.",negativo,-0.943,sin categoría
"Es que ""escribir un ensayo"" es distinto a ""generar un ensayo"". En el paper mencionan que la mayoría se limitaba al copy-paste, entonces en realidad no estaban escribiendo.

Obviamente si se hace un estudio sobre escritura y se compara un grupo que escribe con otro que no escribe, ya se sabe cual va a ser el resultado",neutro,0.693,sin categoría
"16:50 Esta última frase resume y resuelve toda la discusión que hay alrededor de que alguno de los trabajos de oficina van a desaparecer



SI TU TRABAJO ES COPIAR DE UN LLM, QUIZÁS NO DEBERÍA EXISTIR. ",negativo,-0.807,sin categoría
"Recordé cuando escribí un libreto para un video que estoy haciendo y recurrí a Gemini para ver si podía simplificar porque me parecía que era largo el texto. Si yo pido algún feedback en alguna comunidad, están los dos escenarios: o me ignoran, o me dan algún consejo genérico que no me llevará a nada.",negativo,-0.76,sin categoría
Saludos cordiales desde Bucaramanga Colombia,positivo,0.637,sin categoría
"El mejor del planeta (fire) sigue siendo esa guía para los que vivimos el presente de manera intensa  tratando de ir al ritmo de la tecnología aplicado a nuestros proyectos, son mi gran referentes for ever mi G, una Abrazo desde el Oriente Venezolano",positivo,0.963,sin categoría
"Gran edición del vídeo, hay curso?",positivo,0.614,sin categoría
"Hermano usas google mamps o waze o alguno ? Paso lo mismo antes se usaba el libro rojo y o aprenderse las calles, igual las camaras de los autos y los sensores, igual esta pasando con la inteligencia artificial , asi que hay que adaptarse, no vamos a ganar la batalla contra las cosas que facilitan las cosas",negativo,-0.562,Aprendizaje
"Yo estoy leyendo mas, he escrito 10 veces mas que en los últimos 5 años fácil, mi capacidad de reportar problemas y describir situaciones se ha multiplicado muchísimo mas que antes, mi capacidad de atención ha mejorado drásticamente, mi ciclo de pensamiento simplemente se a reducido para mejor, ciclos larguísimos de sobre pensamiento se han convertido en un buen prompt y la negación a todo lo que diga la IA sobre mi problema para entender la propia ingeniería de mis pensamientos y poder darle cierre a perdidas gigantescas de tiempo que ahora no se como aprovechar y puedo gastar en PLATZI, sí... Todo recae en el tiempo, el tiempo que usamos, que aprovechamos, que no lo hacemos y que podemos usar para seguir aprendiendo.  Muy informativo! por cierto muy seguro muchas personas se quedan con el titulo o el primer parrafo de lo que las LLM generan. El vago no deja de ser vago solo porque lo vistes de principe.",neutro,0.715,Atención
"Cuando estudio nuevas tecnologías, suelo usar la técnica Pomodoro: dedico 25 minutos a resolver los problemas por mi cuenta y luego tomo 5 minutos para apoyarme en la inteligencia artificial si es necesario. En el trabajo manejo las cosas de forma diferente, pero para estudiar, esta estrategia me ha funcionado muy bien",positivo,0.757,sin categoría
"La cuestión es que hoy en día todo se basa de ser productivo, enfocándolo desde el hecho de hacer una mayor cantidad de cosas en lo menor tiempo posible. Y justamente el uso de estas herramientas encaja con dicha tendencia por lo que las personas lo utilizan.",positivo,0.586,sin categoría
"Como estudiante de ingenieria yo si lo uso mucho, pero es mas que nada para comprobar los resultados de los ejercicios que resuelvo ya que muchas veces no encuentro las soluciones en Internet y también para explicarle teoría y que me compruebe si estoy bien o si estoy equivocada.",neutro,0.87,sin categoría
Depende del uso que se le de. Si es para investigar no le veo como reduce la cognición.,neutro,0.814,sin categoría
"“si tu trabajo es copiar de un LLM, quizás no debería existir ese trabajo”",negativo,-0.819,sin categoría
"La diferencia entre leer un libro o usar gpt es ló mismo que tocar en el piano una obra corta o una sonata completa, aunque una obra corta puede ser extremadamente difícil mantener la concentración durante mucho tiempo con una sonata o sonfonia implica niveles de concentración mucho más alto. Si a esto le sumamos el consumo de videos cortos en redes el efecto puede ser preocupante. Se necesitan ambas cosas.",negativo,-0.522,Atención
La Imprenta también atrofió a los monjes que escribían tratados en la Edad Media...,negativo,-0.827,sin categoría
"Gracias por este vídeo, Freddy, muy, muy bueno. Un tema muy necesario y que en Colombia no estamos hablando. Nuestros gobernantes parecen dormidos ante esta realidad.",positivo,0.55,sin categoría
"Jajajaja Freddy, solo pude ver el video a la tercera vez.

Me costaba que entrara en mi mente la parte inicial del video.

Ya vi el análisis completo y ahora sí estoy de acuerdo. Buen vídeo.",positivo,0.74,sin categoría
"Es bueno reconocer el peligro de nuestra cognición, yo uso chatgpt como una gigante base de datos, estoy tratando de hacer investigaciones? Le pregunto sobre fuentes serias, visito las fuentes y las reviso; ¿quiero aprender sobre cosas específicas, pasos para interactuar con códigos y archivos, aprender más de latín, preguntarle a cerca de determinados usos de palabras tanto en español como en latín? pues la IA está para ayudarme, per sin dudas me hubiese gustado ser un intelectual que puede leer pilares de libros sin rechistar... no se siente bien saber que uno es tonto, pero hago lo que puedo con las herramientas que faciliten para darle tiempos a mis proyectos, mis aprendizajes, etc.",positivo,0.663,Aprendizaje
ChatGPT hizo que a Freddy se le olvidará que Cristian Vander Henz era su amigo y cofounder,negativo,-0.716,sin categoría
menudas animaciones más guapas! y muy buen vídeo!,positivo,0.979,sin categoría
