What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ?,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?,Does ChatGPT help improve critical thinking and problem-solving?,Has ChatGPT provided useful guidance on your career path or educational choices ?,How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,No,Sometimes,Uncertain,No,Yes,Somewhat worried,Agree,Occasionally,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Uncertain,Yes,Yes,Uncertain,Uncertain,Somewhat worried,Strongly agree,Yes,Maybe
Ju,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Uncertain
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,No
North South University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
City University,Undergraduate,Weekly,It has slightly improved teaching methods,No,No,No,Yes,Yes,Worried,Agree,Yes,No
Daffodil International University,Postgraduate,Monthly,It has had no impact on teaching methods,No,Sometimes,No,Yes,Yes,Worried,Strongly agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,Yes,Yes,Uncertain,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Uncertain,Yes,Yes,Yes,Uncertain,Worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Uncertain,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Dhaka University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Dhaka University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,No,Yes,Somewhat worried,Agree,Yes,Uncertain
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,No,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Uncertain,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,No,Not worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dafodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Worried,Agree,Occasionally,Yes
Dhaka University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Yes,Somewhat worried,Agree,Occasionally,Yes
Gono University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,No,Sometimes,Yes,Yes,No,Somewhat worried,Agree,Occasionally,Yes
Bubt,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Bubt,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Bubt,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Bubt,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Bubt,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Bubt,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Bubt,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Occasionally,Yes
Bubt,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Uncertain,Uncertain,Uncertain,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Dhaka International University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,Yes
Jagannath University Dhaka,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,No,Sometimes,No,Yes,No,Not worried,Neither agree nor disagree,Yes,Uncertain
Mst. Mariha Akhter,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Yes,Uncertain,Yes,Yes,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has had no impact on teaching methods,Yes,No,Yes,Yes,Uncertain,Worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Uncertain,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Uncertain,Uncertain,Yes,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Monthly,It has had no impact on teaching methods,Uncertain,No,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,No
Daffodil International University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil International University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
City University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,No
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,Yes
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Worried,Agree,Yes,Yes
City University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
City University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,No,Somewhat worried,Agree,Yes,Yes
City University,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometimes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,Uncertain,Uncertain,Uncertain,Worried,Strongly agree,Yes,Maybe
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
City  University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Dhaka University,Undergraduate,Never,It has had no impact on teaching methods,No,Sometimes,No,No,Uncertain,Not worried,Strongly disagree,No,No
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometimes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Sometimes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Disagree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Uncertain,No,Worried,Disagree,Occasionally,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Bangladesh University Of Professional,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Bup,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Bangladesh University Of Professional,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Bangladesh University Of Professional,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Bangladesh University Of Professional,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Yes
Bup,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Worried,Disagree,Yes,Yes
Bangladesh University Of Professional,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Bangladesh University Of Professional,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Iubat,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,No,Uncertain,Not worried,Strongly disagree,Yes,Yes
Dhaka Polytechnic Institute,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,Yes,No,Somewhat worried,Agree,Yes,Yes
Tejgoan College,Phd,Weekly,It has slightly improved teaching methods,No,Sometimes,Uncertain,Yes,No,Worried,Strongly agree,Occasionally,Maybe
Tularam University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Uncertain,Yes,No,Somewhat worried,Strongly agree,Yes,No
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,No,No,Yes,Yes,Uncertain,Worried,Strongly agree,Yes,No
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Uncertain,Uncertain,Uncertain,Worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
University Of Rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Rajshahi University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Rajshahi University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Worried,Neither agree nor disagree,Yes,Yes
Rajshahi University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Rajshahi University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Uncertain,Somewhat worried,Agree,Yes,Yes
Rajshahi University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Rajshahi University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
American International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Somewhat worried,Agree,Occasionally,Yes
Shaheed Ziaur Rahman Medical College,Undergraduate,Never,I am not sure how it affects teaching methods,Uncertain,No,No,Uncertain,Uncertain,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Shaheed Ziaur Rahman Medical College,Undergraduate,Never,I am not sure how it affects teaching methods,Uncertain,No,Uncertain,Uncertain,Uncertain,Somewhat worried,Agree,Yes,Maybe
Shaheed Ziaur Rahman Medical College,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,No,Yes,Uncertain,Yes,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International Universy,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Uncertain,Uncertain,Not worried,Agree,No,Yes
American International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Yes,Somewhat worried,Agree,Occasionally,Yes
Shaheed Ziaur Rahman Medical College,Undergraduate,Never,I am not sure how it affects teaching methods,Uncertain,No,No,Uncertain,No,Not worried,Neither agree nor disagree,Occasionally,Maybe
Shaheed Ziaur Rahman Medical College,Undergraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Somewhat worried,Agree,Yes,Maybe
Shaheed Ziaur Rahman Medical College,Undergraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Somewhat worried,Strongly agree,Yes,Maybe
Shaheed Ziaur Rahman Medical College,Undergraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Somewhat worried,Disagree,Occasionally,Maybe
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Occasionally,Yes
Daffodil International University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
